carat,x,y,z,price,labcol,labcut,labclar
0.71,5.68,5.72,3.52,3299,3,2,5
1.01,6.61,6.55,3.82,4348,4,3,5
0.7,5.79,5.81,3.45,2281,1,4,3
1.08,6.62,6.69,4.11,6078,0,2,2
0.78,6.0,6.03,3.64,4234,0,4,4
1.0,6.28,6.35,4.01,5122,2,4,2
0.31,4.31,4.34,2.69,734,0,2,5
1.51,7.23,7.27,4.61,7815,5,1,3
1.31,6.97,6.87,4.4,7277,3,2,2
1.21,6.74,6.65,4.28,6559,3,1,7
0.32,4.39,4.41,2.71,561,3,2,5
1.01,6.37,6.41,3.99,5696,3,4,5
0.72,5.68,5.75,3.62,3219,2,4,4
0.53,5.22,5.25,3.19,1393,5,4,4
0.7,5.52,5.45,3.54,2717,4,0,7
1.25,6.84,6.88,4.27,8941,3,4,5
0.61,5.44,5.64,3.34,2274,2,4,7
1.84,7.97,7.87,4.81,7922,4,3,3
1.02,6.45,6.37,4.02,3451,6,2,7
0.54,5.29,5.22,3.25,1786,2,3,5
0.36,4.58,4.61,2.84,735,5,2,1
1.01,6.46,6.39,3.96,5204,4,4,5
1.6,7.55,7.5,4.6,10340,4,4,3
0.4,4.69,4.67,2.94,855,4,3,2
0.33,4.44,4.42,2.71,965,3,3,7
1.5,7.05,7.01,4.68,4939,4,0,0
1.04,6.48,6.42,4.05,6542,3,2,5
0.36,4.55,4.59,2.84,789,1,4,5
2.5,8.36,8.29,5.58,14194,3,0,3
0.56,5.28,5.23,3.3,1698,4,2,4
0.31,4.33,4.3,2.74,465,6,4,2
1.02,6.37,6.41,4.04,4155,5,4,3
1.23,6.94,6.92,4.2,6199,4,2,3
0.36,4.55,4.58,2.82,817,1,2,4
1.16,6.74,6.87,4.13,5678,3,4,2
0.58,5.47,5.27,3.28,1641,1,3,2
0.41,4.79,4.78,2.96,1192,2,2,7
1.52,7.46,7.39,4.5,12047,4,3,4
0.45,4.91,4.95,3.05,709,3,2,3
0.51,5.17,5.1,3.13,1687,2,3,5
0.4,4.67,4.69,2.92,982,2,3,4
1.2,6.61,6.67,4.25,6969,1,1,2
0.8,6.01,5.95,3.64,2507,5,3,2
0.3,4.35,4.33,2.62,911,0,3,5
2.01,7.98,8.03,5.05,18572,3,1,2
1.56,7.38,7.19,4.72,7950,3,0,3
1.01,6.39,6.45,3.99,6997,1,4,4
1.51,7.1,7.06,4.66,8260,4,0,2
1.3,6.91,6.97,4.32,6806,5,3,4
0.31,4.37,4.39,2.67,853,0,2,7
0.33,4.43,4.46,2.75,579,1,2,2
0.33,4.44,4.47,2.75,917,1,2,7
1.02,6.44,6.42,4.03,4370,3,2,3
1.03,6.48,6.5,4.0,9236,3,2,7
1.02,6.54,6.61,3.93,6785,0,4,5
0.64,5.52,5.5,3.46,1751,0,3,3
1.01,6.44,6.48,3.97,7288,1,2,5
0.5,5.02,5.06,3.16,1559,1,3,5
0.52,5.19,5.16,3.2,1573,4,2,5
0.7,5.68,5.72,3.55,2515,2,2,2
0.3,4.3,4.28,2.67,911,0,3,5
0.5,5.02,5.11,3.15,1760,3,2,7
1.06,6.57,6.53,4.0,8319,3,3,6
0.42,4.79,4.76,2.97,1181,1,3,4
0.61,5.46,5.43,3.38,4279,0,2,6
1.28,6.92,6.78,4.37,5018,4,1,3
0.38,4.84,4.87,2.73,873,2,1,5
1.2,7.0,6.94,4.12,5107,6,3,4
0.9,6.12,6.17,3.89,4981,0,4,5
1.01,6.38,6.34,3.9,6271,2,3,5
0.52,5.11,5.07,3.19,1073,2,3,3
0.54,5.26,5.22,3.2,1847,3,3,4
2.01,8.08,8.11,4.88,16728,2,4,3
0.33,4.47,4.49,2.75,681,3,4,4
0.8,5.92,5.96,3.71,2919,4,4,2
0.29,4.29,4.33,2.66,511,4,2,7
0.75,5.82,5.74,3.66,2385,5,4,4
0.75,5.75,5.7,3.64,1819,3,1,3
1.57,7.42,7.47,4.63,10633,5,2,2
2.01,7.91,7.97,4.94,16410,2,1,3
1.01,6.46,6.52,3.96,8532,2,2,7
1.66,7.53,7.57,4.74,10134,4,4,2
0.53,5.22,5.27,3.26,1166,3,2,2
0.5,5.07,5.1,3.13,1214,2,4,2
0.7,5.66,5.69,3.52,2699,3,2,2
1.01,6.16,6.22,4.06,5829,1,1,5
0.52,5.15,5.11,3.22,1743,1,3,5
0.7,5.63,5.66,3.56,2159,1,1,3
2.28,8.39,8.33,5.23,15413,4,3,3
0.42,4.79,4.76,3.0,1040,0,3,2
0.38,4.65,4.58,2.88,682,5,3,5
0.23,3.93,3.9,2.46,340,6,2,4
0.31,4.33,4.36,2.68,695,2,2,4
0.59,5.35,5.39,3.35,1419,0,2,3
0.24,3.93,3.97,2.49,419,2,4,4
1.01,6.35,6.39,4.0,9243,2,4,6
0.34,4.49,4.45,2.79,589,5,2,2
1.07,6.56,6.68,4.06,7273,4,2,6
0.74,5.88,5.82,3.58,3312,1,3,4
0.39,4.64,4.59,2.93,790,6,4,4
1.01,6.54,6.59,3.82,5132,1,4,2
0.9,6.14,6.2,3.87,3545,4,3,2
1.01,6.35,6.44,3.93,4262,4,4,3
1.04,6.45,6.48,4.05,4547,2,2,3
0.36,4.58,4.62,2.84,513,6,2,4
0.5,5.05,5.04,3.16,1654,0,3,2
0.7,5.73,5.75,3.53,3319,2,2,4
0.51,5.13,5.07,3.15,1640,1,4,5
1.07,6.56,6.49,4.05,5055,4,3,2
0.47,5.18,5.21,2.97,1178,4,4,5
1.0,6.54,6.49,3.94,6048,3,3,5
0.61,5.45,5.49,3.37,2242,3,2,7
0.35,4.51,4.54,2.8,921,4,2,1
0.43,4.84,4.88,2.95,1056,0,3,5
0.81,5.93,5.99,3.72,4751,3,2,1
0.51,5.11,5.16,3.19,1787,0,2,5
1.24,6.93,6.89,4.29,13178,3,2,1
0.3,4.29,4.25,2.67,554,4,3,2
1.02,6.44,6.5,3.95,3601,6,4,3
0.43,4.81,4.84,2.97,1280,3,2,1
0.31,4.29,4.31,2.71,507,1,4,2
0.41,4.78,4.8,2.89,717,0,4,2
1.62,7.6,7.53,4.63,9199,0,3,3
1.52,7.22,7.18,4.61,13903,3,1,4
0.51,5.17,5.19,3.14,2523,1,1,7
0.43,4.87,4.9,3.0,1235,2,2,4
0.5,5.14,5.18,3.11,1846,4,3,1
1.0,6.3,6.23,3.96,4088,2,4,2
1.14,6.75,6.8,4.13,9037,3,2,6
0.7,5.65,5.69,3.5,1979,6,4,2
0.8,6.0,6.03,3.67,2978,1,2,3
1.04,6.54,6.51,3.98,4811,0,3,3
0.42,4.76,4.78,2.99,700,4,2,2
0.27,4.17,4.2,2.55,577,2,2,5
0.9,6.06,6.11,3.86,3699,2,4,2
1.02,6.49,6.55,3.96,5155,2,4,2
0.36,4.55,4.5,2.82,932,3,3,4
0.7,5.83,5.78,3.4,2657,2,3,2
0.71,5.84,5.83,3.5,2881,1,4,5
1.52,7.26,7.34,4.58,7506,5,4,2
0.41,4.79,4.82,2.95,1364,0,4,7
0.32,4.39,4.35,2.71,828,3,2,4
0.28,4.12,4.15,2.59,373,1,1,2
0.53,5.2,5.17,3.23,1683,2,2,5
0.7,5.76,5.73,3.54,3199,0,2,2
0.7,5.67,5.71,3.57,4244,0,4,6
0.31,4.35,4.39,2.7,680,2,3,4
0.5,5.1,5.16,3.06,1214,2,1,2
0.33,4.47,4.51,2.75,946,3,2,1
0.33,4.5,4.52,2.75,699,3,2,4
2.02,8.06,8.1,5.0,15231,6,2,4
0.77,5.91,5.94,3.62,3197,3,4,4
0.25,4.02,4.12,2.53,548,1,4,7
0.9,6.13,6.09,3.9,3740,0,1,3
0.75,5.78,5.75,3.62,2698,1,3,2
0.32,4.38,4.42,2.75,561,3,2,5
0.5,5.12,5.16,3.15,1349,4,2,5
1.02,6.49,6.53,3.99,7192,3,2,4
0.75,5.79,5.85,3.61,3740,3,2,7
2.01,8.03,7.96,5.07,13275,2,4,2
0.58,5.32,5.34,3.31,1680,5,2,6
0.72,5.83,5.86,3.5,3610,4,4,6
0.7,5.57,5.61,3.49,2755,1,4,5
1.2,6.75,6.7,4.22,6500,4,3,5
0.55,5.26,5.29,3.21,1363,0,2,3
1.56,7.41,7.36,4.6,8107,6,1,5
0.52,5.11,5.16,3.21,1668,1,2,4
0.7,5.63,5.66,3.54,2281,3,4,2
0.32,4.45,4.41,2.7,612,3,3,2
0.91,6.19,6.22,3.85,3238,3,4,3
0.52,5.15,5.19,3.2,1699,4,2,4
0.3,4.34,4.3,2.61,675,4,3,4
0.75,5.91,5.86,3.56,2394,2,3,3
1.5,7.53,7.47,4.41,9697,4,3,2
0.32,4.4,4.37,2.75,684,2,3,2
0.3,4.3,4.32,2.68,573,2,2,5
0.51,5.14,5.18,3.14,1597,0,3,5
1.17,6.77,6.82,4.15,6828,2,2,2
1.0,6.38,6.41,3.88,5445,1,3,2
0.31,4.3,4.34,2.72,462,3,4,2
0.25,4.0,4.03,2.52,548,0,4,7
0.53,5.23,5.26,3.21,1576,0,4,2
1.51,7.36,7.21,4.55,14294,2,3,5
1.0,6.3,6.22,4.01,4732,4,0,4
0.9,6.08,6.13,3.85,3024,4,1,3
0.71,5.79,5.73,3.52,2307,3,2,2
0.82,6.11,6.08,3.66,2329,1,3,3
1.0,6.37,6.42,3.87,5546,0,1,2
0.31,4.35,4.33,2.69,931,3,2,7
1.04,6.56,6.54,4.0,7175,1,3,5
1.5,7.19,7.12,4.54,6300,1,4,3
1.01,6.41,6.45,3.99,3770,5,4,3
0.3,4.33,4.38,2.66,427,6,4,4
0.9,6.15,6.19,3.85,3418,6,4,4
2.0,7.9,7.97,5.04,18818,3,4,2
1.87,7.98,8.04,4.78,17761,4,2,4
1.19,6.66,6.73,4.2,5595,4,4,2
1.15,6.68,6.71,4.18,5270,4,4,2
0.51,5.16,5.13,3.1,1068,5,4,5
0.64,5.55,5.53,3.46,2074,2,2,5
0.31,4.37,4.33,2.71,942,0,2,5
0.71,5.7,5.72,3.55,2339,4,4,3
1.07,6.61,6.55,4.06,10288,1,2,7
1.06,6.6,6.56,4.14,7836,3,2,7
0.9,6.2,6.26,3.81,4186,2,4,5
0.31,4.32,4.35,2.68,789,4,2,1
0.78,5.91,5.93,3.63,3259,2,2,5
1.24,6.99,7.03,4.21,7701,4,2,5
0.53,5.19,5.22,3.21,1577,3,2,5
1.01,6.44,6.41,3.86,3597,2,0,3
0.38,4.67,4.7,2.9,1200,2,2,6
0.71,5.69,5.74,3.55,2650,3,2,2
1.02,6.43,6.5,3.98,4540,4,2,2
0.7,5.56,5.63,3.52,2212,3,4,4
0.4,4.75,4.77,2.88,954,0,1,4
0.5,5.09,5.15,3.19,1316,1,3,2
0.84,6.03,6.07,3.74,3392,5,4,7
0.41,4.67,4.71,3.02,827,2,1,4
0.67,5.57,5.6,3.44,2270,1,1,5
1.0,6.39,6.36,4.03,5396,1,4,2
0.76,5.83,5.79,3.66,3248,0,2,5
1.27,6.97,7.0,4.29,5455,6,2,2
1.24,6.98,6.92,4.22,4812,5,2,3
0.23,3.95,3.98,2.47,583,1,4,6
1.02,6.42,6.45,3.99,7326,2,2,5
0.31,4.35,4.38,2.66,435,1,3,3
0.32,4.36,4.35,2.76,720,1,4,2
0.54,5.22,5.24,3.16,1662,0,3,2
0.52,5.16,5.2,3.19,1897,3,2,7
1.06,6.51,6.56,4.07,4774,2,3,2
0.42,4.82,4.84,2.95,1142,2,2,7
1.02,6.39,6.54,4.04,10967,2,4,1
0.54,5.36,5.3,3.18,1369,2,3,2
1.2,6.94,7.0,4.14,9904,1,4,4
0.56,5.29,5.26,3.3,1915,1,2,5
1.01,6.34,6.38,3.97,7137,3,1,7
1.12,6.69,6.65,4.08,4641,4,3,2
1.01,6.56,6.52,3.88,4435,3,4,3
0.31,4.38,4.39,2.72,864,1,2,7
0.72,5.66,5.72,3.6,2393,5,4,5
0.41,4.78,4.82,2.88,683,1,3,3
1.01,6.45,6.5,3.91,6132,3,2,5
2.01,7.96,7.88,5.0,10184,4,4,3
0.55,5.38,5.33,3.16,1931,2,3,5
0.2,3.77,3.72,2.31,367,0,3,5
0.56,5.3,5.26,3.29,1882,4,2,6
0.9,6.12,6.14,3.83,4600,3,4,5
2.03,8.52,8.42,4.81,16442,4,4,3
0.33,4.46,4.5,2.75,416,2,2,3
0.75,5.9,5.87,3.58,2484,4,3,5
0.37,4.6,4.57,2.84,833,1,2,2
0.3,4.33,4.31,2.65,675,4,2,4
0.31,4.36,4.33,2.72,732,0,2,2
1.04,6.67,6.65,3.91,4477,4,3,5
0.91,6.21,6.18,3.83,3975,3,3,2
0.72,5.79,5.76,3.49,3024,1,3,5
1.0,6.36,6.29,3.98,6400,1,3,5
1.5,6.85,6.81,4.87,4368,5,0,0
1.03,6.63,6.57,3.94,10546,2,3,6
0.45,4.95,5.0,2.97,764,3,4,3
0.38,4.67,4.7,2.9,1096,2,2,6
0.43,4.85,4.87,2.99,1207,3,2,6
0.36,4.46,4.49,2.84,593,1,4,2
0.56,5.32,5.34,3.3,1296,1,2,3
0.73,5.85,5.8,3.57,3620,1,2,4
0.35,4.59,4.6,2.75,491,5,2,5
0.4,4.79,4.76,2.93,675,6,3,2
1.25,6.97,6.93,4.27,6399,3,4,3
0.37,4.64,4.6,2.83,1124,0,2,5
0.7,5.7,5.64,3.53,2536,5,2,6
0.54,5.24,5.21,3.23,1944,4,2,6
1.5,7.33,7.22,4.53,6888,5,3,2
1.16,6.76,6.67,4.21,4872,5,3,2
1.03,6.48,6.56,3.94,4800,4,4,2
1.22,6.84,6.74,4.28,6695,3,3,2
0.58,5.4,5.45,3.29,2192,1,2,4
0.72,5.79,5.77,3.55,3124,4,2,6
0.59,5.32,5.37,3.35,1419,0,4,3
0.76,5.91,5.97,3.59,3261,1,4,2
1.01,6.29,6.27,4.0,6335,1,1,5
1.71,7.67,7.61,4.73,9618,4,2,5
0.52,5.16,5.14,3.18,2012,3,2,7
0.41,4.76,4.78,2.94,1007,3,4,7
0.32,4.41,4.39,2.71,720,3,2,5
1.07,6.54,6.6,4.05,6061,2,4,2
0.4,4.69,4.73,2.99,1017,1,4,7
1.32,7.05,6.97,4.36,5027,1,3,0
0.9,6.2,6.29,3.8,4008,3,2,2
0.44,4.86,4.9,3.02,849,0,3,2
0.3,4.29,4.34,2.7,658,1,2,5
0.25,4.04,4.02,2.48,740,1,3,7
1.51,7.54,7.53,4.36,15420,3,1,6
0.93,6.34,6.3,3.83,4140,0,3,3
0.38,4.67,4.72,2.89,1100,1,2,7
0.31,4.45,4.41,2.63,982,2,3,6
0.57,5.38,5.34,3.3,1819,1,2,5
0.41,4.77,4.81,2.94,1187,1,2,7
0.35,4.54,4.57,2.81,887,3,2,6
1.01,6.57,6.59,3.88,5600,0,4,2
0.41,4.84,4.8,2.91,1192,2,3,7
0.4,4.71,4.67,2.93,945,2,3,2
1.01,6.36,6.45,3.96,8532,2,4,7
0.75,6.18,6.08,3.43,2940,1,0,5
1.0,6.54,6.49,3.86,5723,0,3,2
0.5,5.15,5.13,3.14,2081,2,3,6
0.41,4.74,4.78,2.97,755,1,4,2
0.81,5.92,5.96,3.81,3324,0,1,2
0.92,6.21,6.18,3.87,4150,0,3,3
1.61,7.43,7.36,4.72,9467,3,1,5
0.43,4.81,4.84,3.0,943,3,4,4
0.37,4.64,4.71,2.78,811,1,4,5
0.96,6.2,6.24,3.9,3286,5,4,3
0.66,5.58,5.53,3.49,1901,1,2,2
0.77,5.9,5.85,3.66,2282,2,3,3
0.91,6.11,6.15,3.9,3340,3,1,3
0.7,5.63,5.57,3.5,2268,2,3,2
1.12,6.71,6.61,4.15,6683,3,3,5
2.02,8.13,8.21,4.73,17533,5,1,4
2.11,8.43,8.39,4.91,14615,5,3,3
0.25,4.05,4.08,2.52,560,1,4,7
1.14,6.56,6.71,4.2,8912,2,4,7
1.5,7.14,7.23,4.62,9768,4,1,2
0.9,6.27,6.25,3.83,6441,0,3,4
0.4,4.73,4.75,2.96,694,1,2,2
0.4,4.75,4.78,2.94,1097,3,2,6
0.91,6.17,6.12,3.86,4228,0,3,2
1.12,6.59,6.65,4.03,3794,1,4,3
0.58,5.39,5.35,3.32,2192,1,3,4
0.41,4.71,4.64,2.96,680,5,4,2
1.54,7.33,7.38,4.58,8301,4,4,3
0.26,4.15,4.23,2.51,554,1,4,7
0.41,4.78,4.8,2.92,791,0,2,2
1.65,7.7,7.65,4.64,9693,2,3,3
0.57,5.36,5.38,3.29,1554,4,2,4
0.31,4.36,4.33,2.68,872,1,2,5
1.23,6.76,6.85,4.33,5834,5,1,4
0.35,4.59,4.62,2.74,767,1,3,5
0.37,4.72,4.75,2.76,696,3,4,4
0.9,6.05,5.99,4.01,2536,6,0,3
0.51,5.12,5.15,3.17,2163,2,2,6
1.11,6.69,6.71,4.07,8528,2,4,4
1.04,6.51,6.43,3.93,4484,4,2,3
1.01,6.51,6.45,3.84,2683,6,3,3
0.27,4.12,4.15,2.56,442,3,4,7
1.02,6.48,6.51,3.97,4039,4,4,3
0.39,4.67,4.71,2.91,1189,3,2,1
0.31,4.32,4.37,2.64,571,0,2,2
1.0,6.25,6.15,4.11,4295,3,0,2
0.43,4.82,4.85,3.0,981,1,2,5
0.36,4.54,4.57,2.84,896,2,2,7
0.3,4.25,4.29,2.66,886,2,2,1
0.31,4.33,4.36,2.69,436,5,2,2
0.23,3.94,3.97,2.44,485,0,4,6
0.72,5.75,5.78,3.56,2456,2,2,3
0.31,4.32,4.28,2.73,698,1,4,2
0.5,4.97,5.0,3.23,1917,1,1,7
0.43,4.87,4.9,2.95,754,3,4,2
0.32,4.37,4.4,2.75,872,3,4,1
1.07,6.62,6.56,3.99,6885,2,3,4
1.0,6.33,6.38,3.93,4712,2,4,2
2.01,7.96,8.01,4.96,15919,5,4,5
0.31,4.37,4.41,2.73,914,2,2,1
0.51,5.16,5.12,3.14,1882,0,3,5
1.01,6.42,6.34,3.96,6425,1,3,5
1.74,7.73,7.69,4.79,9208,6,2,2
0.38,4.58,4.62,2.89,800,2,4,5
0.3,4.29,4.32,2.66,605,3,2,4
0.72,5.71,5.67,3.59,2385,3,4,2
0.53,5.17,5.11,3.16,1558,2,3,4
0.32,4.41,4.44,2.71,645,2,2,5
0.32,4.41,4.38,2.68,612,3,3,2
0.56,5.33,5.36,3.23,1924,0,2,4
0.32,4.41,4.45,2.73,648,2,2,2
0.38,4.66,4.72,2.82,606,5,4,4
1.0,6.53,6.5,3.82,6468,2,3,5
0.32,4.35,4.31,2.75,756,0,4,2
0.7,5.73,5.78,3.52,2270,3,2,3
0.51,5.18,5.22,3.12,1680,2,4,4
0.31,4.33,4.37,2.69,979,2,2,1
0.3,4.28,4.31,2.67,814,2,2,6
0.71,5.66,5.74,3.55,2190,1,2,3
1.53,7.43,7.51,4.54,12386,1,4,2
1.07,6.59,6.54,4.04,9532,3,2,1
1.21,6.96,6.9,4.18,5529,3,3,3
0.31,4.33,4.37,2.69,533,0,2,2
0.42,4.77,4.81,2.97,847,3,3,5
1.64,7.66,7.69,4.65,12199,5,2,5
0.36,4.55,4.61,2.77,726,2,3,5
0.7,5.78,5.71,3.46,2435,4,3,4
1.78,7.73,7.62,4.9,9071,3,1,3
0.5,5.08,5.11,3.14,1337,1,2,2
0.36,4.64,4.58,2.78,729,5,3,4
1.15,6.6,6.5,4.23,6530,3,0,4
0.31,4.32,4.35,2.69,675,2,4,4
1.75,7.63,7.67,4.79,16632,3,4,5
0.29,4.33,4.37,2.64,404,4,4,3
0.5,5.08,5.12,3.11,1799,4,4,1
0.67,5.54,5.57,3.57,1581,6,1,4
0.31,4.33,4.31,2.67,802,2,3,5
1.01,6.47,6.38,3.96,5147,4,3,4
0.33,4.46,4.48,2.73,666,3,2,4
0.34,4.46,4.43,2.78,765,4,2,4
0.7,5.71,5.77,3.48,2537,1,2,2
1.22,6.77,6.71,4.3,7201,4,1,5
0.32,4.42,4.37,2.76,756,0,2,2
0.9,6.15,6.19,3.84,3662,1,3,3
0.3,4.31,4.33,2.67,612,2,2,4
1.0,6.34,6.36,4.02,5521,2,4,2
0.33,4.43,4.38,2.73,743,1,3,2
1.06,6.55,6.51,4.08,4238,3,2,3
0.78,5.88,5.82,3.69,2228,5,4,2
0.71,5.79,5.71,3.46,2345,2,3,2
0.32,4.41,4.37,2.73,468,6,3,2
0.47,5.02,5.07,3.04,1270,0,2,5
0.63,5.46,5.49,3.41,2644,2,2,4
0.71,5.72,5.75,3.52,3710,2,2,4
0.54,5.19,5.22,3.24,2080,3,2,6
1.03,6.46,6.41,4.04,8629,1,3,4
0.24,3.96,4.03,2.48,478,2,4,7
1.21,6.79,6.75,4.22,5387,5,2,5
1.22,6.94,6.89,4.21,8067,3,3,5
0.64,5.6,5.63,3.42,2243,0,3,5
0.31,4.36,4.31,2.69,695,3,3,4
1.01,6.33,6.37,3.97,3945,2,4,3
0.41,4.85,4.89,2.94,1115,1,2,4
1.07,6.55,6.58,4.07,5820,4,2,5
1.5,7.27,7.23,4.59,5141,6,4,0
1.02,6.57,6.54,3.88,3701,4,3,3
1.22,6.88,6.9,4.26,8411,4,2,4
1.02,6.51,6.42,3.98,6580,1,3,5
1.5,7.34,7.22,4.58,9954,3,3,2
1.04,6.54,6.6,4.01,4999,4,3,2
1.02,6.41,6.44,4.02,4084,5,4,3
0.35,4.54,4.6,2.8,881,1,2,7
0.54,5.22,5.26,3.23,1401,3,2,5
0.7,5.8,5.75,3.43,2596,2,3,2
0.32,4.37,4.39,2.73,645,3,2,4
0.36,4.51,4.56,2.81,629,2,3,5
0.56,5.33,5.28,3.26,2011,0,3,5
0.4,4.69,4.72,2.96,954,4,4,6
0.54,5.25,5.21,3.2,1814,4,2,6
0.31,4.39,4.41,2.64,816,4,2,1
1.22,6.9,5.92,4.22,5807,4,2,3
0.39,4.68,4.7,2.92,1004,1,2,4
1.01,6.22,6.18,3.82,3676,4,3,3
0.56,5.31,5.33,3.28,2712,1,2,7
0.3,4.29,4.33,2.71,605,2,4,5
0.33,4.45,4.47,2.71,723,1,2,5
1.35,7.01,7.05,4.41,6860,1,4,2
0.3,4.32,4.36,2.67,1041,2,2,6
1.01,6.5,6.46,3.96,3874,5,3,3
0.49,5.21,5.16,3.07,1261,2,3,5
1.51,7.15,7.11,4.54,8245,5,1,2
1.02,6.45,6.38,4.05,5058,2,4,2
0.72,5.8,5.75,3.53,2903,1,3,5
1.02,6.37,6.41,4.01,4189,5,2,3
1.0,6.36,6.39,3.91,4372,2,4,3
1.55,7.45,7.38,4.57,15801,2,3,4
1.04,6.51,6.47,4.01,8098,3,3,7
0.74,5.76,5.79,3.63,2684,2,4,2
0.33,4.43,4.46,2.76,828,2,2,6
0.9,6.14,6.17,3.86,3820,5,2,5
0.56,5.29,5.33,3.3,1417,3,2,2
2.23,8.41,8.32,5.14,16805,3,3,3
0.41,4.77,4.8,2.95,1367,3,2,1
1.17,6.71,6.73,4.18,5837,2,2,2
0.8,5.9,5.93,3.7,3296,4,2,4
0.43,4.8,4.84,2.99,891,3,1,5
0.27,4.18,4.15,2.56,752,0,2,7
0.5,4.97,4.83,3.23,938,2,0,3
0.52,5.23,5.18,3.16,1376,0,3,2
1.0,6.45,6.5,3.84,5987,0,4,2
1.54,7.45,7.49,4.47,12522,3,3,5
0.41,4.8,4.83,2.85,827,3,3,5
1.5,7.44,7.4,4.34,8736,3,3,3
0.92,6.2,6.17,3.9,4173,4,4,5
1.01,6.4,6.42,3.96,7178,3,2,4
0.53,5.19,5.23,3.22,1360,2,2,2
0.53,5.21,5.25,3.26,1113,3,2,3
0.38,4.68,4.64,2.91,1170,0,2,4
2.05,8.17,8.24,4.95,14037,6,2,2
2.03,8.31,8.22,4.91,7421,4,3,0
0.3,4.3,4.32,2.65,814,2,2,6
1.01,6.53,6.47,3.94,4118,1,3,3
0.81,5.97,6.02,3.7,3756,2,2,5
0.53,5.2,5.23,3.23,1621,2,2,5
0.6,5.44,5.39,3.29,1286,3,3,2
0.51,5.13,5.16,3.19,1188,3,2,3
0.39,4.66,4.7,2.89,939,2,2,4
0.55,5.33,5.35,3.22,1081,3,3,3
0.3,4.22,4.27,2.64,605,2,3,5
0.87,6.08,6.12,3.8,3372,4,2,5
0.31,4.37,4.4,2.7,839,3,2,1
0.77,5.94,5.89,3.63,2846,3,3,4
1.07,6.66,6.5,4.06,5813,2,3,2
0.77,5.84,5.75,3.76,2523,0,1,3
1.22,6.81,6.85,4.23,11723,2,3,6
2.01,8.02,7.97,5.01,10558,5,3,3
0.9,6.09,6.13,3.88,3350,3,4,3
0.4,4.8,4.76,2.91,945,1,3,2
0.4,4.68,4.77,2.97,1207,1,4,1
0.51,5.14,5.17,3.16,2718,0,2,7
1.07,6.59,6.63,4.03,7440,4,2,4
1.53,7.51,7.48,4.51,10171,5,2,4
0.77,5.82,5.74,3.64,2338,4,1,2
1.03,6.5,6.56,3.99,4520,4,4,2
1.09,6.53,6.55,4.12,4778,6,2,5
0.73,5.51,5.34,3.84,1049,5,0,0
1.03,6.43,6.38,4.03,7718,0,3,5
0.4,4.76,4.79,2.92,940,1,2,4
0.5,5.15,5.1,3.14,1279,0,3,2
0.41,4.78,4.82,2.93,1115,2,2,7
1.7,7.59,7.56,4.79,11133,4,4,7
0.52,5.14,5.22,3.19,1429,0,4,2
0.53,5.21,5.18,3.19,1783,0,2,5
0.33,4.46,4.5,2.77,453,3,2,2
1.02,6.4,6.43,4.03,4398,1,4,3
1.01,6.45,6.43,3.94,7409,2,2,5
1.2,6.7,6.62,4.27,4476,5,1,3
2.41,8.66,8.6,5.27,15320,6,3,4
1.0,6.45,6.42,3.84,8124,0,3,4
0.32,4.39,4.43,2.7,803,0,2,7
0.31,4.39,4.37,2.71,982,0,2,7
0.71,5.54,5.49,3.66,2401,4,0,4
0.32,4.42,4.44,2.76,841,0,2,7
0.31,4.31,4.34,2.71,542,3,2,4
1.2,6.91,7.0,4.19,8442,3,4,4
1.51,7.29,7.23,4.57,9513,1,2,3
0.55,5.26,5.3,3.25,1598,2,2,2
1.31,7.03,7.07,4.32,11975,3,2,7
0.96,6.01,5.81,4.28,2438,3,0,3
0.4,4.72,4.75,2.99,622,0,1,3
1.28,7.09,6.96,4.3,6936,0,3,3
0.31,4.28,4.33,2.72,489,5,1,4
0.25,4.04,4.07,2.5,535,2,2,5
0.57,5.34,5.31,3.29,1176,2,3,3
1.5,7.16,7.08,4.52,8081,5,4,2
0.39,4.69,4.71,2.92,716,2,4,5
0.7,5.51,5.47,3.65,2339,0,0,2
1.5,7.02,6.96,4.58,5645,4,0,0
0.52,4.98,5.06,3.29,1849,3,0,1
2.01,8.11,8.06,5.04,15917,4,3,3
0.38,4.73,4.77,2.8,680,1,1,2
1.08,6.55,6.5,4.14,4857,1,4,3
0.42,4.84,4.87,2.99,1069,2,2,7
0.44,4.92,4.9,3.0,1040,1,2,2
0.47,5.04,5.0,3.09,983,6,2,2
0.53,5.21,5.32,3.21,1219,3,4,2
0.3,4.31,4.23,2.71,1010,0,4,7
1.53,7.31,7.34,4.6,8058,6,4,4
0.43,4.91,4.85,2.94,871,2,3,3
1.08,6.5,6.52,4.1,5805,1,4,3
0.32,4.38,4.42,2.69,421,5,3,2
0.32,4.49,4.54,2.63,589,0,4,2
0.35,4.59,4.53,2.77,709,5,3,4
1.01,6.46,6.51,3.88,7487,0,4,5
0.33,4.45,4.42,2.78,743,5,2,7
0.71,5.64,5.71,3.58,2428,5,1,7
0.33,4.45,4.47,2.76,456,6,2,4
1.06,6.58,6.61,4.02,4769,3,4,3
0.53,5.09,5.03,3.31,1402,2,0,5
1.51,7.29,7.24,4.58,14414,2,2,5
1.04,6.55,6.51,3.95,3786,4,2,3
0.32,4.4,4.42,2.72,814,3,2,6
0.61,5.54,5.47,3.29,1233,6,2,5
